Company Name,High,Low,Last Price,% Chg,Value (Rs. cr.)
Sheela Foam,2025.00,1930.00,1960.70,-1.37,2.30
Mah Scooters,3603.10,3490.00,3579.80,1.73,2.23
Asahi India,314.00,284.00,296.65,3.02,2.23
Garden Reach Sh,193.10,185.70,186.55,-1.97,2.23
VST,3403.00,3315.00,3376.50,1.39,2.18
Allcargo,125.20,122.70,123.20,-1.12,2.08
Sadbhav Engg,64.40,62.25,62.85,1.21,2.02
Ratnamani Metal,1909.00,1861.00,1889.50,1.01,1.81
Vardhman Text,1273.60,1200.05,1252.60,3.49,1.79
JagranPrakashan,59.50,58.70,58.75,-0.09,1.74
Aster DM Health,138.50,133.95,136.80,2.70,1.65
Mahindra Holida,213.80,205.15,206.70,-2.57,1.59
Gujarat Fluoro,590.00,575.00,581.40,0.18,1.52
Star Cement,98.20,95.25,96.40,0.16,1.45
Kolte-Patil,236.90,224.65,225.60,-0.57,1.39
IWML,1240.00,1191.00,1223.70,1.36,1.39
Mah Seamless,282.00,276.40,279.40,1.75,1.36
Hatsun Agro,729.80,715.30,719.30,0.25,1.36
Gulf Oil Lubric,744.90,710.00,733.50,1.78,1.22
Bharat Rasayan,9414.50,9273.30,9330.75,-0.24,1.22
MAS Financial S,879.80,854.10,865.85,-0.31,1.17
TV TodayNetwork,273.00,264.00,265.35,-1.76,1.16
Ingersoll Rand,695.00,680.00,688.95,2.76,1.12
Orient Refract,237.90,225.15,228.20,-2.40,1.08
Himatsingka Sei,152.35,146.05,147.00,-0.84,1.08
Esab India,1833.35,1780.00,1795.30,-1.31,1.02
Omaxe,70.35,68.00,69.10,0.66,0.91
Indostar Capita,318.25,313.25,314.05,-0.71,0.83
Elgi Equipments,186.70,181.40,183.80,1.88,0.82
Solar Ind,1307.25,1283.60,1300.40,0.45,0.80
GE T&D India,115.80,113.00,113.45,0.18,0.74
Vesuvius India,970.00,932.00,958.20,2.92,0.49
Hexaware Tech,471.45,470.35,470.80,0.00,0.00
